codigo_producto;codebar1;Codigo_2;Codigo_3;Codigo_4;Codigo_5;Codigo_6;Codigo_7;Codigo_8;Codigo_9;Codigo_10;Codigo_11;Codigo_12;Codigo_13;Codigo_14;Codigo_15;Codigo_16
1000900032;7793742002120;;;;;;;;;;;;;;;
1000900033;7793742002144;;;;;;;;;;;;;;;
1075400003;7798144110145;;;;;;;;;;;;;;;
1014000053;7798011653348;;;;;;;;;;;;;;;
1014000054;7798011653355;;;;;;;;;;;;;;;
1021203401;7795344001075;;;;;;;;;;;;;;;
1021203402;7795344001105;;;;;;;;;;;;;;;
1014000051;7798011653317;;;;;;;;;;;;;;;
1011900010;7798030237147;;;;;;;;;;;;;;;
1000201601;7798113701015;;;;;;;;;;;;;;;
1059700049;7798113701039;;;;;;;;;;;;;;;
1004900042;7795306045659;;;;;;;;;;;;;;;
1034400005;7798021111470;;;;;;;;;;;;;;;
1010803201;7798016922494;7795376000978;;;;;;;;;;;;;;
1047800113;7797416013276;;;;;;;;;;;;;;;
1047800114;7797416013283;;;;;;;;;;;;;;;
1047800115;7797416013290;;;;;;;;;;;;;;;
1047800116;7797416013306;;;;;;;;;;;;;;;
1047800229;7797416016253;;;;;;;;;;;;;;;
1047800230;7797416014051;;;;;;;;;;;;;;;
1047800231;7797416016260;;;;;;;;;;;;;;;
1047800232;7797416014037;;;;;;;;;;;;;;;
1047800112;7797416013320;;;;;;;;;;;;;;;
1047800233;7797416013313;;;;;;;;;;;;;;;
1047800234;7797416016284;;;;;;;;;;;;;;;
1047800235;7797416016291;;;;;;;;;;;;;;;
1047800167;7797416015157;;;;;;;;;;;;;;;
1047800169;7797416015171;;;;;;;;;;;;;;;
1047800221;7797416015188;;;;;;;;;;;;;;;
1004500148;7791909116017;;;;;;;;;;;;;;;
1004500149;7791909116123;;;;;;;;;;;;;;;
1004500296;7791909116130;;;;;;;;;;;;;;;
1015801201;7798129414657;7795380041974;;;;;;;;;;;;;;
1015802301;7798129414640;7795380041981;;;;;;;;;;;;;;
1079400000;7798182770042;;;;;;;;;;;;;;;
2079400030;7798182770950;;;;;;;;;;;;;;;
1079400014;7798182770332;;;;;;;;;;;;;;;
2079400035;7798182771179;;;;;;;;;;;;;;;
2079400031;7798182770851;;;;;;;;;;;;;;;
1079400015;7798182770325;;;;;;;;;;;;;;;
2079400043;7798178624144;;;;;;;;;;;;;;;
1009901203;7794428010033;;;;;;;;;;;;;;;
1009901204;7794428010040;;;;;;;;;;;;;;;
2012800101;7798024330021;;;;;;;;;;;;;;;
2012800102;7798024330014;;;;;;;;;;;;;;;
3011404888;8470001509802;;;;;;;;;;;;;;;
3011404906;8470001806475;;;;;;;;;;;;;;;
3011404910;8470002000698;;;;;;;;;;;;;;;
3011404911;8470002000704;;;;;;;;;;;;;;;
3011404916;8470003245913;;;;;;;;;;;;;;;
3011453023;8470001855107;;;;;;;;;;;;;;;
3011404917;8470003245920;;;;;;;;;;;;;;;
1000900059;7793742006203;;;;;;;;;;;;;;;
1000900061;7793742000461;;;;;;;;;;;;;;;
1000900073;7793742006319;7793742006302;;;;;;;;;;;;;;
1000905701;7793742006104;;;;;;;;;;;;;;;
3011463007;7798364400255;;;;;;;;;;;;;;;
3011461153;7791293049755;;;;;;;;;;;;;;;
3011416905;7791600028589;;;;;;;;;;;;;;;
3011416904;7791600028657;;;;;;;;;;;;;;;
3011457075;7791600162580;7791600162581;;;;;;;;;;;;;;
3011416907;7791600028015;;;;;;;;;;;;;;;
3011416906;7791600028190;;;;;;;;;;;;;;;
3011427168;7791600161873;7791600296568;7791600387358;7791600744564;;;;;;;;;;;;
1082100023;7798183410862;;;;;;;;;;;;;;;
1082100024;7798183410886;;;;;;;;;;;;;;;
1082100025;7798183410879;;;;;;;;;;;;;;;
1082100026;7798183410770;;;;;;;;;;;;;;;
2082100002;7798183412538;;;;;;;;;;;;;;;
2082100003;7798183412545;;;;;;;;;;;;;;;
2082100004;7798183412569;;;;;;;;;;;;;;;
2082100005;7798183412552;;;;;;;;;;;;;;;
1082100027;7798183410763;;;;;;;;;;;;;;;
1082100028;7798183410787;;;;;;;;;;;;;;;
1082100029;7798183410800;;;;;;;;;;;;;;;
1082100030;7798183410831;;;;;;;;;;;;;;;
1082100031;7798183410824;;;;;;;;;;;;;;;
1082100032;7798183410855;;;;;;;;;;;;;;;
1082100033;7798183410848;;;;;;;;;;;;;;;
1082100035;7798183410817;;;;;;;;;;;;;;;
1018405501;7795368001501;;;;;;;;;;;;;;;
1018400023;7795368055344;;;;;;;;;;;;;;;
1013800332;7795347900955;;;;;;;;;;;;;;;
1013800333;7795347900962;;;;;;;;;;;;;;;
1020200023;7792371933843;;;;;;;;;;;;;;;
1020200024;7792371933867;;;;;;;;;;;;;;;
1020200025;7792371933881;;;;;;;;;;;;;;;
1020200045;7792371417961;;;;;;;;;;;;;;;
1072600028;7798006870323;;;;;;;;;;;;;;;
1072600029;7798006870569;;;;;;;;;;;;;;;
1072600030;7798006870576;;;;;;;;;;;;;;;
1012500029;7795345013763;;;;;;;;;;;;;;;
1038600016;7798021440136;;;;;;;;;;;;;;;
1003600010;4048846013637;;;;;;;;;;;;;;;
1021100000;7792069045018;;;;;;;;;;;;;;;
1021100001;7792069045025;;;;;;;;;;;;;;;
